ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
4141,3.6184,163.7622,379.2378,4830.576
4142,3.6292,164.032,379.968,4853.6353
4143,3.6292,164.3018,380.6982,4853.6353
4144,3.6408,164.5692,381.4308,4870.2046
4145,3.6422,164.8376,382.1624,4874.948
4146,3.6488,165.1122,382.8878,4892.7705
4147,3.6648,165.398,383.602,4950.0728
4148,3.675,165.6844,384.3156,4975.3887
4149,3.7064,165.9638,385.0362,5030.8286
4150,3.7238,166.2434,385.7566,5059.293
4151,3.724,166.5228,386.4772,5059.293
4152,3.724,166.8022,387.1978,5059.293
4153,3.724,167.0816,387.9184,5059.293
4154,3.724,167.361,388.639,5059.293
4155,3.725,167.6394,389.3606,5059.293
4156,3.7292,167.918,390.082,5067.38
4157,3.7334,168.1948,390.8052,5072.059
4158,3.7334,168.4716,391.5284,5072.059
4159,3.7334,168.7484,392.2516,5072.059
4160,3.7334,169.0252,392.9748,5072.059
4161,3.7334,169.302,393.698,5072.059
4162,3.7344,169.5782,394.4218,5073.704
4163,3.7344,169.8544,395.1456,5073.704
4164,3.7344,170.1306,395.8694,5073.704
4165,3.7344,170.4068,396.5932,5073.704
4166,3.7434,170.683,397.317,5090.2446
4167,3.7434,170.9592,398.0408,5090.2446
4168,3.7434,171.2354,398.7646,5090.2446
4169,3.7434,171.5116,399.4884,5090.2446
4170,3.7528,171.7926,400.2074,5109.917
4171,3.7528,172.0736,400.9264,5109.917
4172,3.7534,172.355,401.645,5112.596
4173,3.7718,172.6274,402.3726,5128.4136
4174,3.7718,172.8998,403.1002,5128.4136
4175,3.7766,173.1746,403.8254,5139.0303
4176,3.7796,173.4496,404.5504,5144.9136
4177,3.7962,173.7246,405.2754,5172.836
4178,3.7964,173.9994,406.0006,5172.836
4179,3.7964,174.2742,406.7258,5172.836
4180,3.798,174.549,407.451,5175.1606
4181,3.8102,174.829,408.171,5200.7817
4182,3.8276,175.1132,408.8868,5237.781
4183,3.8302,175.398,409.602,5242.43
4184,3.8326,175.6818,410.3182,5244.8247
4185,3.839,175.9676,411.0324,5255.7446
4186,3.8404,176.2534,411.7466,5257.78
4187,3.8404,176.5392,412.4608,5257.78
4188,3.8486,176.825,413.175,5274.628
4189,3.8654,177.1144,413.8856,5306.618
4190,3.8654,177.4038,414.5962,5306.618
4191,3.8672,177.6966,415.3034,5314.174
4192,3.9014,177.986,416.014,5363.3145
4193,3.9032,178.2736,416.7264,5363.3145
4194,3.9072,178.558,417.442,5364.3545
4195,3.9124,178.842,418.158,5368.722
4196,3.9264,179.1286,418.8714,5395.6343
4197,3.9264,179.4162,419.5838,5397.0874
4198,3.9302,179.704,420.296,5405.407
4199,3.9302,179.9918,421.0082,5405.407
